timestamp,pair,long_pct,short_pct
2025-03-24 09:44,USDCAD,29.0,71.0
2025-03-24 11:34,USDCAD,29.0,71.0
2025-03-24 11:34,USDCAD,29.0,71.0
2025-03-24 15:09,USDCAD,28.0,72.0
2025-03-24 16:24,USDCAD,29.0,71.0
2025-03-24 22:00,USDCAD,28.0,72.0
2025-03-24 21:00,USDCAD,28.0,72.0
2025-03-24 23:00,USDCAD,27.0,73.0
2025-03-25 03:00,USDCAD,27.0,73.0
2025-03-25 04:00,USDCAD,27.0,73.0
2025-03-25 05:00,USDCAD,27.0,73.0
2025-03-25 06:00,USDCAD,27.0,73.0
2025-03-25 07:00,USDCAD,27.0,73.0
2025-03-25 08:00,USDCAD,27.0,73.0
2025-03-25 09:00,USDCAD,27.0,73.0
2025-03-25 10:00,USDCAD,28.0,72.0
2025-03-25 11:00,USDCAD,31.0,69.0
2025-03-25 12:00,USDCAD,33.0,67.0
2025-03-25 13:00,USDCAD,34.0,66.0
2025-03-25 14:00,USDCAD,32.0,68.0
2025-03-25 15:00,USDCAD,29.0,71.0
2025-03-25 16:00,USDCAD,28.0,72.0
2025-03-25 17:00,USDCAD,28.0,72.0
2025-03-25 18:00,USDCAD,28.0,72.0
2025-03-25 19:00,USDCAD,28.0,72.0
2025-03-25 20:00,USDCAD,29.0,71.0
2025-03-25 21:00,USDCAD,30.0,70.0
